time,daily_max_T,daily_mean_T
1997.821803597228,-27.5900,-28.4121
1997.824543323256,-25.7000,-26.5121
1997.827283049283,-25.8600,-26.4458
1997.830022775310,-27.8100,-30.0392
1997.832762501338,-32.8000,-33.4963
1997.835502227365,-31.6900,-32.8346
1997.838241953393,-31.6600,-32.5488
1997.840981679420,-33.3600,-33.9250
1997.843721405447,-32.8700,-33.9367
1997.846461131475,-31.8000,-32.2042
1997.849200857502,-32.7200,-35.0400
1997.851940583530,-35.8800,-36.7467
1997.854680309557,-34.9900,-35.3254
1997.857420035584,-35.0100,-35.7525
1997.860159761612,-36.5500,-37.0679
1997.862899487639,-37.5200,-38.0942
1997.865639213667,-38.4100,-38.8396
1997.868378939694,-39.7100,-40.6562
1997.871118665721,-41.6500,-42.0154
1997.873858391749,-42.2300,-42.3650
1997.876598117776,-41.9500,-42.1192
1997.879337843804,-42.0300,-42.1100
1997.882077569831,-41.6700,-41.8692
1997.884817295858,-41.8700,-42.3229
1997.887557021886,-41.8600,-42.1421
1997.890296747913,-39.1800,-41.0021
1997.893036473941,-35.1200,-37.1904
1997.895776199968,-34.0200,-34.3817
1997.898515925995,-33.8500,-33.9371
1997.901255652023,-34.0600,-34.3963
1997.903995378050,-34.8400,-35.3138
1997.906735104077,-34.8500,-35.1692
1997.909474830105,-34.8700,-35.3133
1997.912214556132,-36.0200,-36.6621
1997.914954282160,-36.6000,-37.2667
1997.917694008187,-35.9500,-36.0746
1997.920433734214,-35.6600,-36.0096
1997.923173460242,-35.3700,-35.8383
1997.925913186269,-36.7700,-37.3307
1997.928652912297,-37.6300,-37.8890
1997.931392638324,-37.5600,-37.6960
1997.934132364351,-40.1200,-40.1500
1997.936872090379,-40.1900,-40.2567
1997.939611816406,-41.7800,-41.8700
1997.942351542434,-40.3200,-40.9658
1997.945091268461,-39.5000,-39.7871
1997.947830994488,-39.8200,-39.8450
1997.950570720516,-42.7400,-42.8714
1997.953310446543,-42.6900,-42.7475
1997.956050172571,-41.6800,-42.2342
1997.958789898598,-38.6400,-40.2837
1997.961529624625,-36.4100,-37.4554
1997.964269350653,-34.6400,-35.6379
1997.967009076680,-32.9600,-33.5650
